topic,stem,example_word,cooc_n,doc_freq
supervision,financi,financial,16490,11020
supervision,risk,risk,14366,10030
supervision,polici,policy,9916,10709
supervision,system,system,9488,9713
supervision,regul,regulation,9413,5973
supervision,market,market,6714,10959
supervision,supervis,supervision,5661,3610
supervision,institut,institutions,5278,8879
supervision,develop,developments,5228,10457
supervision,monetari,monetary,5146,9284
supervision,stabil,stability,5137,9133
supervision,effect,effective,4683,10241
supervision,regulatori,regulatory,4517,4746
supervision,macro,macro,4509,2241
supervision,author,authorities,4330,5818
supervision,framework,framework,4329,6855
supervision,manag,management,4110,7932
supervision,requir,requirements,3706,8790
supervision,econom,economic,3695,10620
supervision,supervisori,supervisory,3681,2828
supervision,capit,capital,3590,8213
supervision,intern,international,3493,8709
supervision,prudenti,prudential,3484,2326
supervision,assess,assessment,3360,6990
supervision,price,price,3272,9451
supervision,rate,rate,3041,9894
supervision,respons,responsibility,3035,8552
supervision,reserv,reserve,2944,7263
supervision,inform,information,2885,7195
supervision,activ,activities,2881,9007
supervision,close,closely,2858,8084
supervision,ecb,ecb,2853,3421
supervision,continu,continue,2838,9976
supervision,approach,approach,2808,6265
supervision,sector,sector,2767,9120
supervision,feder,federal,2744,5239
supervision,level,level,2719,10168
supervision,committe,committee,2707,5312
supervision,inflat,inflation,2685,7215
supervision,board,board,2672,7158
supervision,economi,economy,2647,10465
supervision,standard,standards,2617,6601
supervision,ensur,ensure,2611,7857
supervision,process,process,2606,8084
supervision,firm,firms,2577,6384
supervision,includ,including,2576,9574
supervision,measur,measures,2511,8738
supervision,credit,credit,2411,7641
supervision,issu,issues,2411,8997
supervision,base,based,2393,8633
supervision,govern,governance,2342,9133
supervision,countri,countries,2241,9235
supervision,improv,improve,2172,8792
supervision,nation,national,2153,7868
supervision,crisi,crisis,2152,6867
supervision,oper,operational,2138,7933
supervision,role,role,2130,8407
supervision,expect,expectations,2113,9383
supervision,report,report,2079,6754
supervision,function,function,2071,6247
supervision,provid,provide,2045,9462
supervision,supervisor,supervisors,2015,1946
supervision,focus,focus,2010,7569
supervision,implement,implementation,2008,6763
supervision,conduct,conduct,2006,5768
supervision,strengthen,strengthening,1998,5767
supervision,practic,practices,1984,5878
supervision,relat,related,1968,8871
supervision,basel,basel,1949,1855
supervision,review,review,1943,5541
supervision,term,term,1926,10189
supervision,increas,increased,1911,10583
supervision,set,set,1905,8333
supervision,global,global,1875,8321
supervision,impact,impact,1789,7300
supervision,account,account,1782,8766
supervision,recent,recent,1781,9964
supervision,current,current,1731,8650
supervision,liquid,liquidity,1715,6135
supervision,data,data,1710,6189
supervision,monitor,monitoring,1703,4618
supervision,rule,rules,1601,4848
supervision,stress,stress,1507,4165
supervision,enhanc,enhanced,1497,5519
supervision,public,public,1485,8564
supervision,tool,tools,1476,4019
supervision,potenti,potential,1473,8063
supervision,outlook,outlook,1468,4647
supervision,mechan,mechanism,1461,4932
supervision,asset,asset,1460,7410
supervision,establish,established,1454,5907
supervision,insur,insurance,1437,3705
