topic,stem,example_word,tf_idf,cooc_n,combined_rank
regulation,surcharg,surcharge,2.86606972033484e-5,918,586
regulation,pra,pra,7.030224829700258e-5,822,635
regulation,nbfcs,nbfcs,6.0191748237226464e-5,708,704
regulation,sib,sibs,2.4076699294890587e-5,660,761
regulation,aml,aml,3.0674228994913985e-5,645,763
regulation,ccps,ccps,7.39009008606517e-5,627,774
regulation,lcr,lcr,2.647580100399e-5,582,836
regulation,fpc,fpc,7.270135000610199e-5,548,862
regulation,bcbs,bcbs,2.283430733839267e-5,554,872
regulation,ccyb,ccyb,1.9578383590329176e-5,549,880
regulation,microprudenti,microprudential,2.9517519242312476e-5,487,947
regulation,sifi,sifis,2.3605447173460338e-5,463,990
regulation,kyc,kyc,2.0306682323448642e-5,433,1039
regulation,tlac,tlac,1.4823021274078545e-5,435,1053
regulation,irb,irb,1.6493824250058495e-5,383,1136
regulation,rulemak,rulemaking,1.885008485720971e-5,328,1247
regulation,sec,sec,4.4212017210546406e-5,298,1292
regulation,ccar,ccar,1.2552442870823738e-5,301,1334
regulation,ccp,ccp,4.3697923987167965e-5,271,1369
regulation,basl,basle,1.233823736108272e-5,280,1387
supervision,risk,risk,0,14366,278
supervision,polici,policy,0,9916,279
supervision,system,system,0,9488,280
supervision,regul,regulation,0,9413,281
supervision,supervis,supervision,0,5661,283
supervision,institut,institutions,0,5278,284
supervision,develop,developments,0,5228,285
supervision,monetari,monetary,0,5146,286
supervision,stabil,stability,0,5137,287
supervision,effect,effective,0,4683,288
supervision,regulatori,regulatory,0,4517,289
supervision,macro,macro,0,4509,290
supervision,author,authorities,0,4330,291
supervision,framework,framework,0,4329,292
supervision,manag,management,0,4110,293
supervision,requir,requirements,0,3706,294
supervision,supervisori,supervisory,0,3681,296
supervision,capit,capital,0,3590,297
supervision,intern,international,0,3493,298
supervision,prudenti,prudential,0,3484,299
