tone_group,bigram,n,tf,idf,tf_idf
dovish,monetary easing,331,4.015197096442366e-4,0.6931471805599453,2.7831225467915045e-4
dovish,quantitative easing,276,3.348019331172486e-4,0.6931471805599453,2.3206701598624022e-4
dovish,lower income,145,1.758923199347864e-4,0.6931471805599453,1.2191926564494506e-4
dovish,overseas economies,128,1.552704617355356e-4,0.6931471805599453,1.0762528277622737e-4
dovish,national saving,119,1.4435300739475574e-4,0.6931471805599453,1.0005788008102387e-4
dovish,lower bound,116,1.4071385594782913e-4,0.6931471805599453,9.753541251595605e-5
dovish,easing policy,105,1.2737030064243155e-4,0.6931471805599453,8.828636477737401e-5
dovish,accommodative monetary,103,1.249441996778138e-4,0.6931471805599453,8.660471973399545e-5
dovish,spare capacity,96,1.1645284630165169e-4,0.6931471805599453,8.071896208217052e-5
dovish,monetary stimulus,95,1.1523979581934282e-4,0.6931471805599453,7.987813956048125e-5
dovish,business fixed,94,1.1402674533703395e-4,0.6931471805599453,7.903731703879197e-5
dovish,advanced approaches,93,1.1281369485472507e-4,0.6931471805599453,7.819649451710269e-5
dovish,mining investment,93,1.1281369485472507e-4,0.6931471805599453,7.819649451710269e-5
dovish,lower cost,92,1.116006443724162e-4,0.6931471805599453,7.735567199541341e-5
dovish,urban infrastructure,80,9.704403858470974e-5,0.6931471805599453,6.72658017351421e-5
dovish,risk sensitivity,78,9.461793762009199e-5,0.6931471805599453,6.558415669176354e-5
dovish,japanese firms,76,9.219183665547426e-5,0.6931471805599453,6.3902511648385e-5
dovish,stressed assets,72,8.733963472623877e-5,0.6931471805599453,6.0539221561627895e-5
dovish,life expectancy,71,8.61265842439299e-5,0.6931471805599453,5.9698399039938615e-5
dovish,fiscal stimulus,70,8.491353376162102e-5,0.6931471805599453,5.8857576518249334e-5
dovish,population aging,69,8.370048327931215e-5,0.6931471805599453,5.8016753996560054e-5
dovish,baby boom,68,8.248743279700328e-5,0.6931471805599453,5.717593147487079e-5
dovish,capital spending,68,8.248743279700328e-5,0.6931471805599453,5.717593147487079e-5
dovish,economic slowdown,68,8.248743279700328e-5,0.6931471805599453,5.717593147487079e-5
dovish,semiannual report,68,8.248743279700328e-5,0.6931471805599453,5.717593147487079e-5
dovish,swiss dinar,66,8.006133183238554e-5,0.6931471805599453,5.5494286431492234e-5
dovish,australian government,65,7.884828135007666e-5,0.6931471805599453,5.4653463909802954e-5
dovish,middle income,65,7.884828135007666e-5,0.6931471805599453,5.4653463909802954e-5
dovish,sec market,65,7.884828135007666e-5,0.6931471805599453,5.4653463909802954e-5
dovish,lower risk,63,7.642218038545892e-5,0.6931471805599453,5.297181886642441e-5
dovish,purchase program,63,7.642218038545892e-5,0.6931471805599453,5.297181886642441e-5
dovish,saving rate,63,7.642218038545892e-5,0.6931471805599453,5.297181886642441e-5
dovish,resources sector,62,7.520912990315005e-5,0.6931471805599453,5.213099634473513e-5
dovish,sheet adjustments,61,7.399607942084117e-5,0.6931471805599453,5.129017382304585e-5
dovish,investment spending,60,7.27830289385323e-5,0.6931471805599453,5.044935130135657e-5
