tone_group,bigram,n,tf,idf,tf_idf
hawkish,commodities activities,38,2.5835225650299825e-4,0.6931471805599453,1.7907613818635303e-4
hawkish,anchor currency,29,1.9716356417334076e-4,0.6931471805599453,1.36663368615901e-4
hawkish,credit reference,28,1.903648205811566e-4,0.6931471805599453,1.3195083866362854e-4
hawkish,stable coins,28,1.903648205811566e-4,0.6931471805599453,1.3195083866362854e-4
hawkish,cesee region,25,1.699685898046041e-4,0.6931471805599453,1.1781324880681119e-4
hawkish,nominal anchor,25,1.699685898046041e-4,0.6931471805599453,1.1781324880681119e-4
hawkish,physical commodities,25,1.699685898046041e-4,0.6931471805599453,1.1781324880681119e-4
hawkish,monetary anchor,23,1.5637110262023578e-4,0.6931471805599453,1.083881889022663e-4
hawkish,circuit breakers,22,1.4957235902805162e-4,0.6931471805599453,1.0367565894999385e-4
hawkish,deterring acts,20,1.359748718436833e-4,0.6931471805599453,9.425059904544896e-5
hawkish,investigation phase,19,1.2917612825149913e-4,0.6931471805599453,8.953806909317652e-5
hawkish,overseas investments,17,1.155786410671308e-4,0.6931471805599453,8.011300918863162e-5
hawkish,cultural identity,15,1.0198115388276246e-4,0.6931471805599453,7.068794928408672e-5
hawkish,debt free,15,1.0198115388276246e-4,0.6931471805599453,7.068794928408672e-5
hawkish,strategic uncertainty,15,1.0198115388276246e-4,0.6931471805599453,7.068794928408672e-5
hawkish,bbsw methodology,14,9.51824102905783e-5,0.6931471805599453,6.597541933181427e-5
hawkish,reference system,14,9.51824102905783e-5,0.6931471805599453,6.597541933181427e-5
hawkish,anchor inflation,13,8.838366669839413e-5,0.6931471805599453,6.126288937954183e-5
hawkish,firmly anchored,13,8.838366669839413e-5,0.6931471805599453,6.126288937954183e-5
hawkish,hli industry,13,8.838366669839413e-5,0.6931471805599453,6.126288937954183e-5
hawkish,privately negotiated,13,8.838366669839413e-5,0.6931471805599453,6.126288937954183e-5
hawkish,bsbd accounts,12,8.158492310620997e-5,0.6931471805599453,5.655035942726937e-5
hawkish,cesee economies,12,8.158492310620997e-5,0.6931471805599453,5.655035942726937e-5
hawkish,administrator pan,11,7.478617951402581e-5,0.6931471805599453,5.183782947499693e-5
hawkish,free payments,11,7.478617951402581e-5,0.6931471805599453,5.183782947499693e-5
hawkish,advanced nations,10,6.798743592184164e-5,0.6931471805599453,4.712529952272448e-5
hawkish,alleviation programmes,10,6.798743592184164e-5,0.6931471805599453,4.712529952272448e-5
hawkish,cesee countries,10,6.798743592184164e-5,0.6931471805599453,4.712529952272448e-5
hawkish,franc note,10,6.798743592184164e-5,0.6931471805599453,4.712529952272448e-5
hawkish,strategic concept,10,6.798743592184164e-5,0.6931471805599453,4.712529952272448e-5
hawkish,western balkans,10,6.798743592184164e-5,0.6931471805599453,4.712529952272448e-5
hawkish,banknote summit,9,6.118869232965748e-5,0.6931471805599453,4.2412769570452035e-5
hawkish,capital companies,9,6.118869232965748e-5,0.6931471805599453,4.2412769570452035e-5
hawkish,outright yields,9,6.118869232965748e-5,0.6931471805599453,4.2412769570452035e-5
hawkish,remain vigilant,9,6.118869232965748e-5,0.6931471805599453,4.2412769570452035e-5
hawkish,road business,9,6.118869232965748e-5,0.6931471805599453,4.2412769570452035e-5
hawkish,constitutes sound,8,5.438994873747331e-5,0.6931471805599453,3.770023961817958e-5
hawkish,covered funds,8,5.438994873747331e-5,0.6931471805599453,3.770023961817958e-5
hawkish,credit investigation,8,5.438994873747331e-5,0.6931471805599453,3.770023961817958e-5
hawkish,dear hans,8,5.438994873747331e-5,0.6931471805599453,3.770023961817958e-5
hawkish,dear listeners,8,5.438994873747331e-5,0.6931471805599453,3.770023961817958e-5
hawkish,guard rails,8,5.438994873747331e-5,0.6931471805599453,3.770023961817958e-5
hawkish,reference agencies,8,5.438994873747331e-5,0.6931471805599453,3.770023961817958e-5
hawkish,anchor expectations,7,4.759120514528915e-5,0.6931471805599453,3.2987709665907136e-5
hawkish,brand india,7,4.759120514528915e-5,0.6931471805599453,3.2987709665907136e-5
hawkish,cultural unity,7,4.759120514528915e-5,0.6931471805599453,3.2987709665907136e-5
hawkish,glb act,7,4.759120514528915e-5,0.6931471805599453,3.2987709665907136e-5
hawkish,policy tightening,7,4.759120514528915e-5,0.6931471805599453,3.2987709665907136e-5
hawkish,regulated clusters,7,4.759120514528915e-5,0.6931471805599453,3.2987709665907136e-5
hawkish,security tokens,7,4.759120514528915e-5,0.6931471805599453,3.2987709665907136e-5
hawkish,single stock,7,4.759120514528915e-5,0.6931471805599453,3.2987709665907136e-5
hawkish,subprime turbulence,7,4.759120514528915e-5,0.6931471805599453,3.2987709665907136e-5
hawkish,tighten monetary,7,4.759120514528915e-5,0.6931471805599453,3.2987709665907136e-5
hawkish,agenda item,6,4.0792461553104986e-5,0.6931471805599453,2.8275179713634686e-5
hawkish,anchoring inflation,6,4.0792461553104986e-5,0.6931471805599453,2.8275179713634686e-5
hawkish,anti tying,6,4.0792461553104986e-5,0.6931471805599453,2.8275179713634686e-5
hawkish,banning cryptocurrencies,6,4.0792461553104986e-5,0.6931471805599453,2.8275179713634686e-5
hawkish,bordo eichengreen,6,4.0792461553104986e-5,0.6931471805599453,2.8275179713634686e-5
hawkish,conditional payments,6,4.0792461553104986e-5,0.6931471805599453,2.8275179713634686e-5
hawkish,cultural days,6,4.0792461553104986e-5,0.6931471805599453,2.8275179713634686e-5
hawkish,cyber information,6,4.0792461553104986e-5,0.6931471805599453,2.8275179713634686e-5
hawkish,dear theo,6,4.0792461553104986e-5,0.6931471805599453,2.8275179713634686e-5
hawkish,frank moraes,6,4.0792461553104986e-5,0.6931471805599453,2.8275179713634686e-5
hawkish,gerardo esquivel,6,4.0792461553104986e-5,0.6931471805599453,2.8275179713634686e-5
hawkish,global official,6,4.0792461553104986e-5,0.6931471805599453,2.8275179713634686e-5
hawkish,ideal imf,6,4.0792461553104986e-5,0.6931471805599453,2.8275179713634686e-5
hawkish,indexed rate,6,4.0792461553104986e-5,0.6931471805599453,2.8275179713634686e-5
hawkish,inflation dispersion,6,4.0792461553104986e-5,0.6931471805599453,2.8275179713634686e-5
hawkish,inflation forecasting,6,4.0792461553104986e-5,0.6931471805599453,2.8275179713634686e-5
hawkish,intelligence sharing,6,4.0792461553104986e-5,0.6931471805599453,2.8275179713634686e-5
hawkish,irene tinagli,6,4.0792461553104986e-5,0.6931471805599453,2.8275179713634686e-5
hawkish,john harvard,6,4.0792461553104986e-5,0.6931471805599453,2.8275179713634686e-5
hawkish,listing authorities,6,4.0792461553104986e-5,0.6931471805599453,2.8275179713634686e-5
hawkish,nonbank affiliated,6,4.0792461553104986e-5,0.6931471805599453,2.8275179713634686e-5
hawkish,private counterparties,6,4.0792461553104986e-5,0.6931471805599453,2.8275179713634686e-5
hawkish,raiffeisen movement,6,4.0792461553104986e-5,0.6931471805599453,2.8275179713634686e-5
hawkish,rbi ombudsmen,6,4.0792461553104986e-5,0.6931471805599453,2.8275179713634686e-5
hawkish,reporting templates,6,4.0792461553104986e-5,0.6931471805599453,2.8275179713634686e-5
hawkish,sector disclosure,6,4.0792461553104986e-5,0.6931471805599453,2.8275179713634686e-5
hawkish,snb shareholders,6,4.0792461553104986e-5,0.6931471805599453,2.8275179713634686e-5
hawkish,summit fritz,6,4.0792461553104986e-5,0.6931471805599453,2.8275179713634686e-5
hawkish,surveillance activities,6,4.0792461553104986e-5,0.6931471805599453,2.8275179713634686e-5
hawkish,user markets,6,4.0792461553104986e-5,0.6931471805599453,2.8275179713634686e-5
hawkish,affordability risks,5,3.399371796092082e-5,0.6931471805599453,2.356264976136224e-5
hawkish,alaskan natives,5,3.399371796092082e-5,0.6931471805599453,2.356264976136224e-5
hawkish,alia jordan,5,3.399371796092082e-5,0.6931471805599453,2.356264976136224e-5
hawkish,alternatives including,5,3.399371796092082e-5,0.6931471805599453,2.356264976136224e-5
hawkish,analytical apparatus,5,3.399371796092082e-5,0.6931471805599453,2.356264976136224e-5
hawkish,angel rojo,5,3.399371796092082e-5,0.6931471805599453,2.356264976136224e-5
