tone_group,stem,n,tf,idf,tf_idf,example_word,example_word_freq,doc_freq
hawkish,restrict,354,9.173028187627295e-4,0.6931471805599453,6.358258625450765e-4,restrictions,3080,2987
hawkish,anchor,306,7.929227755406645e-4,0.6931471805599453,5.49612186267778e-4,anchored,2284,2595
hawkish,persist,222,5.752576999020507e-4,0.6931471805599453,3.987382527825056e-4,persistent,3877,3977
hawkish,tighten,123,3.187238607565416e-4,0.6931471805599453,2.209225454605774e-4,tightening,5908,3224
hawkish,vigil,57,1.4770130132620222e-4,0.6931471805599453,1.0237874057929197e-4,vigilance,689,912
hawkish,cea,42,1.0883253781930689e-4,0.6931471805599453,7.543696674263618e-5,cea,123,15
hawkish,ede,20,5.182501800919376e-5,0.6931471805599453,3.5922365115541045e-5,edes,82,11
hawkish,hike,19,4.923376710873407e-5,0.6931471805599453,3.412624685976399e-5,hike,1725,912
hawkish,overh,15,3.8868763506895316e-5,0.6931471805599453,2.694177383665578e-5,overheating,721,597
hawkish,nis,10,2.591250900459688e-5,0.6931471805599453,1.7961182557770522e-5,nis,60,16
hawkish,eki,9,2.332125810413719e-5,0.6931471805599453,1.6165064301993467e-5,eki,51,12
hawkish,mdgs,9,2.332125810413719e-5,0.6931471805599453,1.6165064301993467e-5,mdgs,39,15
hawkish,liff,8,2.0730007203677504e-5,0.6931471805599453,1.4368946046216418e-5,liffe,25,12
hawkish,ofz,7,1.8138756303217815e-5,0.6931471805599453,1.2572827790439364e-5,ofz,66,33
hawkish,grit,6,1.554750540275813e-5,0.6931471805599453,1.0776709534662313e-5,grit,16,10
hawkish,strahan,6,1.554750540275813e-5,0.6931471805599453,1.0776709534662313e-5,strahan,59,26
hawkish,brunner,5,1.295625450229844e-5,0.6931471805599453,8.980591278885261e-6,brunner,101,40
hawkish,adenau,4,1.0365003601838752e-5,0.6931471805599453,7.184473023108209e-6,adenauer,27,16
hawkish,albania,4,1.0365003601838752e-5,0.6931471805599453,7.184473023108209e-6,albania,34,21
hawkish,chit,4,1.0365003601838752e-5,0.6931471805599453,7.184473023108209e-6,chit,15,15
hawkish,eyl,4,1.0365003601838752e-5,0.6931471805599453,7.184473023108209e-6,eyl,65,15
hawkish,fci,4,1.0365003601838752e-5,0.6931471805599453,7.184473023108209e-6,fcy,22,15
hawkish,fluiditi,4,1.0365003601838752e-5,0.6931471805599453,7.184473023108209e-6,fluidity,29,18
hawkish,lrs,4,1.0365003601838752e-5,0.6931471805599453,7.184473023108209e-6,lrs,22,11
hawkish,pix,4,1.0365003601838752e-5,0.6931471805599453,7.184473023108209e-6,pix,83,14
hawkish,sich,4,1.0365003601838752e-5,0.6931471805599453,7.184473023108209e-6,sich,25,19
hawkish,sie,4,1.0365003601838752e-5,0.6931471805599453,7.184473023108209e-6,sie,30,19
hawkish,tenanc,4,1.0365003601838752e-5,0.6931471805599453,7.184473023108209e-6,tenancy,16,10
hawkish,turkstat,4,1.0365003601838752e-5,0.6931471805599453,7.184473023108209e-6,turkstat,398,55
hawkish,unimpair,4,1.0365003601838752e-5,0.6931471805599453,7.184473023108209e-6,unimpaired,22,19
hawkish,all,3,7.773752701379064e-6,0.6931471805599453,5.388354767331157e-6,alle,17,23
hawkish,arrog,3,7.773752701379064e-6,0.6931471805599453,5.388354767331157e-6,arrogance,18,23
hawkish,cba,3,7.773752701379064e-6,0.6931471805599453,5.388354767331157e-6,cba,26,13
hawkish,cett,3,7.773752701379064e-6,0.6931471805599453,5.388354767331157e-6,cette,28,23
hawkish,dies,3,7.773752701379064e-6,0.6931471805599453,5.388354767331157e-6,diese,14,17
hawkish,divestitur,3,7.773752701379064e-6,0.6931471805599453,5.388354767331157e-6,divestiture,29,25
hawkish,ebrd,3,7.773752701379064e-6,0.6931471805599453,5.388354767331157e-6,ebrd,14,10
hawkish,elcano,3,7.773752701379064e-6,0.6931471805599453,5.388354767331157e-6,elcano,13,12
hawkish,faction,3,7.773752701379064e-6,0.6931471805599453,5.388354767331157e-6,factions,20,20
hawkish,fera,3,7.773752701379064e-6,0.6931471805599453,5.388354767331157e-6,fera,62,27
hawkish,gdrs,3,7.773752701379064e-6,0.6931471805599453,5.388354767331157e-6,gdrs,18,13
hawkish,heut,3,7.773752701379064e-6,0.6931471805599453,5.388354767331157e-6,heute,31,26
hawkish,ihr,3,7.773752701379064e-6,0.6931471805599453,5.388354767331157e-6,ihre,26,21
hawkish,konrad,3,7.773752701379064e-6,0.6931471805599453,5.388354767331157e-6,konrad,16,12
hawkish,lenz,3,7.773752701379064e-6,0.6931471805599453,5.388354767331157e-6,lenz,16,16
hawkish,marketori,3,7.773752701379064e-6,0.6931471805599453,5.388354767331157e-6,marketoriented,14,13
hawkish,masazumi,3,7.773752701379064e-6,0.6931471805599453,5.388354767331157e-6,masazumi,47,21
hawkish,membr,3,7.773752701379064e-6,0.6931471805599453,5.388354767331157e-6,membres,28,28
hawkish,montenegro,3,7.773752701379064e-6,0.6931471805599453,5.388354767331157e-6,montenegro,49,20
hawkish,norden,3,7.773752701379064e-6,0.6931471805599453,5.388354767331157e-6,norden,38,22
hawkish,outcri,3,7.773752701379064e-6,0.6931471805599453,5.388354767331157e-6,outcry,20,20
hawkish,perruchoud,3,7.773752701379064e-6,0.6931471805599453,5.388354767331157e-6,perruchoud,14,14
hawkish,reimpos,3,7.773752701379064e-6,0.6931471805599453,5.388354767331157e-6,reimpose,10,10
hawkish,rencontr,3,7.773752701379064e-6,0.6931471805599453,5.388354767331157e-6,rencontres,16,15
hawkish,schlegel,3,7.773752701379064e-6,0.6931471805599453,5.388354767331157e-6,schlegel,22,11
hawkish,seq,3,7.773752701379064e-6,0.6931471805599453,5.388354767331157e-6,seq,24,13
hawkish,turkiy,3,7.773752701379064e-6,0.6931471805599453,5.388354767331157e-6,turkiye,50,16
hawkish,wakatab,3,7.773752701379064e-6,0.6931471805599453,5.388354767331157e-6,wakatabe,85,19
hawkish,aktuellen,2,5.182501800919376e-6,0.6931471805599453,3.5922365115541045e-6,aktuellen,10,10
hawkish,altimari,2,5.182501800919376e-6,0.6931471805599453,3.5922365115541045e-6,altimari,28,14
hawkish,blake,2,5.182501800919376e-6,0.6931471805599453,3.5922365115541045e-6,blake,25,18
hawkish,boivin,2,5.182501800919376e-6,0.6931471805599453,3.5922365115541045e-6,boivin,80,35
hawkish,bombard,2,5.182501800919376e-6,0.6931471805599453,3.5922365115541045e-6,bombarded,8,10
hawkish,capgemini,2,5.182501800919376e-6,0.6931471805599453,3.5922365115541045e-6,capgemini,20,16
hawkish,coerc,2,5.182501800919376e-6,0.6931471805599453,3.5922365115541045e-6,coerced,6,11
hawkish,coletti,2,5.182501800919376e-6,0.6931471805599453,3.5922365115541045e-6,coletti,24,20
hawkish,commencerai,2,5.182501800919376e-6,0.6931471805599453,3.5922365115541045e-6,commencerai,18,18
hawkish,conrad,2,5.182501800919376e-6,0.6931471805599453,3.5922365115541045e-6,conrad,10,10
hawkish,crosscheck,2,5.182501800919376e-6,0.6931471805599453,3.5922365115541045e-6,crosschecking,10,17
hawkish,dogma,2,5.182501800919376e-6,0.6931471805599453,3.5922365115541045e-6,dogma,18,20
hawkish,ebner,2,5.182501800919376e-6,0.6931471805599453,3.5922365115541045e-6,ebner,18,18
hawkish,eec,2,5.182501800919376e-6,0.6931471805599453,3.5922365115541045e-6,eec,30,18
hawkish,eesti,2,5.182501800919376e-6,0.6931471805599453,3.5922365115541045e-6,eesti,18,11
hawkish,ehrmann,2,5.182501800919376e-6,0.6931471805599453,3.5922365115541045e-6,ehrmann,137,65
hawkish,einig,2,5.182501800919376e-6,0.6931471805599453,3.5922365115541045e-6,einige,13,14
hawkish,eurogebiet,2,5.182501800919376e-6,0.6931471805599453,3.5922365115541045e-6,eurogebiet,13,11
hawkish,favara,2,5.182501800919376e-6,0.6931471805599453,3.5922365115541045e-6,favara,15,12
hawkish,foolhardi,2,5.182501800919376e-6,0.6931471805599453,3.5922365115541045e-6,foolhardy,15,15
hawkish,francesca,2,5.182501800919376e-6,0.6931471805599453,3.5922365115541045e-6,francesca,22,22
hawkish,francia,2,5.182501800919376e-6,0.6931471805599453,3.5922365115541045e-6,francia,14,12
hawkish,frenkel,2,5.182501800919376e-6,0.6931471805599453,3.5922365115541045e-6,frenkel,26,18
hawkish,giannoni,2,5.182501800919376e-6,0.6931471805599453,3.5922365115541045e-6,giannoni,95,54
hawkish,ihnen,2,5.182501800919376e-6,0.6931471805599453,3.5922365115541045e-6,ihnen,38,25
hawkish,immort,2,5.182501800919376e-6,0.6931471805599453,3.5922365115541045e-6,immortal,6,10
hawkish,impot,2,5.182501800919376e-6,0.6931471805599453,3.5922365115541045e-6,impotent,28,32
