bigram,tf_idf,n
monetary easing,2.7831225467915045e-4,331
quantitative easing,2.3206701598624022e-4,276
lower income,1.2191926564494506e-4,145
overseas economies,1.0762528277622737e-4,128
national saving,1.0005788008102387e-4,119
lower bound,9.753541251595605e-5,116
easing policy,8.828636477737401e-5,105
accommodative monetary,8.660471973399545e-5,103
spare capacity,8.071896208217052e-5,96
monetary stimulus,7.987813956048125e-5,95
business fixed,7.903731703879197e-5,94
advanced approaches,7.819649451710269e-5,93
mining investment,7.819649451710269e-5,93
lower cost,7.735567199541341e-5,92
urban infrastructure,6.72658017351421e-5,80
risk sensitivity,6.558415669176354e-5,78
japanese firms,6.3902511648385e-5,76
stressed assets,6.0539221561627895e-5,72
life expectancy,5.9698399039938615e-5,71
fiscal stimulus,5.8857576518249334e-5,70
