example_word,stem,tf_idf,doc_freq
lower,lower,0.001163007875809848,7285
weak,weak,4.952350882213157e-4,4607
easing,eas,4.2420923077503655e-4,4083
cut,cut,2.9934642202244556e-4,3228
accommodative,accommod,1.8421318278304341e-4,2864
slowdown,slowdown,1.628081298540278e-4,2256
stimulus,stimulus,1.1967370501222363e-4,1912
rupiah,rupiah,5.351263232253903e-5,116
chaps,chap,4.929648553349049e-5,68
slack,slack,4.410738179312307e-5,935
cics,cic,3.9566916020301577e-5,22
mbs,mbs,2.821575158824785e-5,122
rpix,rpix,2.7891432604474884e-5,115
liu,liu,2.529688073429117e-5,59
pcr,pcr,2.529688073429117e-5,16
cdfis,cdfis,2.4972561750518207e-5,33
sharia,sharia,2.335096683165339e-5,47
qqe,qqe,2.3026647847880427e-5,291
csds,csds,2.1729371912788572e-5,54
trilemma,trilemma,2.1729371912788572e-5,120
