bigram,tf_idf,n
commodities activities,1.7907613818635303e-4,38
anchor currency,1.36663368615901e-4,29
credit reference,1.3195083866362854e-4,28
stable coins,1.3195083866362854e-4,28
cesee region,1.1781324880681119e-4,25
nominal anchor,1.1781324880681119e-4,25
physical commodities,1.1781324880681119e-4,25
monetary anchor,1.083881889022663e-4,23
circuit breakers,1.0367565894999385e-4,22
deterring acts,9.425059904544896e-5,20
investigation phase,8.953806909317652e-5,19
overseas investments,8.011300918863162e-5,17
cultural identity,7.068794928408672e-5,15
debt free,7.068794928408672e-5,15
strategic uncertainty,7.068794928408672e-5,15
bbsw methodology,6.597541933181427e-5,14
reference system,6.597541933181427e-5,14
anchor inflation,6.126288937954183e-5,13
firmly anchored,6.126288937954183e-5,13
hli industry,6.126288937954183e-5,13
