example_word,stem,tf_idf,doc_freq
restrictions,restrict,6.358258625450765e-4,2987
anchored,anchor,5.49612186267778e-4,2595
persistent,persist,3.987382527825056e-4,3977
tightening,tighten,2.209225454605774e-4,3224
vigilance,vigil,1.0237874057929197e-4,912
cea,cea,7.543696674263618e-5,15
edes,ede,3.5922365115541045e-5,11
hike,hike,3.412624685976399e-5,912
overheating,overh,2.694177383665578e-5,597
nis,nis,1.7961182557770522e-5,16
eki,eki,1.6165064301993467e-5,12
mdgs,mdgs,1.6165064301993467e-5,15
liffe,liff,1.4368946046216418e-5,12
ofz,ofz,1.2572827790439364e-5,33
grit,grit,1.0776709534662313e-5,10
strahan,strahan,1.0776709534662313e-5,26
brunner,brunner,8.980591278885261e-6,40
adenauer,adenau,7.184473023108209e-6,16
albania,albania,7.184473023108209e-6,21
chit,chit,7.184473023108209e-6,15
