doc_id,hawkish_hits,dovish_hits,net_tone,tone_group
1,0,5,-5,dovish
4,0,6,-6,dovish
5,0,2,-2,dovish
11,0,3,-3,dovish
12,0,2,-2,dovish
34,0,3,-3,dovish
35,2,0,2,hawkish
54,0,7,-7,dovish
57,0,2,-2,dovish
64,0,3,-3,dovish
69,3,0,3,hawkish
75,3,0,3,hawkish
88,0,5,-5,dovish
89,0,12,-12,dovish
93,0,3,-3,dovish
95,0,7,-7,dovish
97,0,4,-4,dovish
98,0,4,-4,dovish
101,0,9,-9,dovish
104,0,2,-2,dovish
110,0,3,-3,dovish
112,0,4,-4,dovish
113,0,4,-4,dovish
115,0,2,-2,dovish
116,0,18,-18,dovish
117,0,3,-3,dovish
121,3,0,3,hawkish
122,0,2,-2,dovish
124,0,2,-2,dovish
125,0,11,-11,dovish
131,0,4,-4,dovish
134,0,6,-6,dovish
135,0,3,-3,dovish
138,0,7,-7,dovish
151,0,2,-2,dovish
156,0,7,-7,dovish
159,3,0,3,hawkish
163,0,3,-3,dovish
164,3,0,3,hawkish
165,0,2,-2,dovish
167,0,11,-11,dovish
172,2,0,2,hawkish
181,2,0,2,hawkish
192,0,5,-5,dovish
193,0,2,-2,dovish
194,0,2,-2,dovish
197,0,2,-2,dovish
201,2,0,2,hawkish
202,0,2,-2,dovish
207,0,3,-3,dovish
215,0,4,-4,dovish
220,0,2,-2,dovish
222,4,0,4,hawkish
234,5,0,5,hawkish
237,0,2,-2,dovish
239,0,5,-5,dovish
248,0,5,-5,dovish
254,0,13,-13,dovish
256,0,2,-2,dovish
266,0,4,-4,dovish
275,0,3,-3,dovish
297,0,6,-6,dovish
304,0,6,-6,dovish
305,0,2,-2,dovish
311,6,0,6,hawkish
325,6,0,6,hawkish
336,0,5,-5,dovish
339,0,5,-5,dovish
348,5,0,5,hawkish
353,2,0,2,hawkish
356,0,4,-4,dovish
359,6,0,6,hawkish
368,2,0,2,hawkish
373,0,3,-3,dovish
375,4,0,4,hawkish
376,2,0,2,hawkish
378,2,0,2,hawkish
391,0,2,-2,dovish
395,0,2,-2,dovish
402,0,4,-4,dovish
406,0,2,-2,dovish
410,0,2,-2,dovish
420,3,0,3,hawkish
426,0,3,-3,dovish
431,0,13,-13,dovish
432,0,2,-2,dovish
434,0,4,-4,dovish
435,0,12,-12,dovish
437,0,11,-11,dovish
438,0,6,-6,dovish
439,0,11,-11,dovish
440,0,8,-8,dovish
444,0,2,-2,dovish
447,0,4,-4,dovish
448,4,0,4,hawkish
449,0,5,-5,dovish
453,0,2,-2,dovish
458,2,0,2,hawkish
461,0,2,-2,dovish
462,0,4,-4,dovish
463,0,2,-2,dovish
468,0,2,-2,dovish
475,0,11,-11,dovish
479,0,4,-4,dovish
483,3,0,3,hawkish
490,0,5,-5,dovish
491,0,2,-2,dovish
492,0,2,-2,dovish
497,0,4,-4,dovish
498,0,2,-2,dovish
499,0,4,-4,dovish
511,0,3,-3,dovish
512,0,3,-3,dovish
514,0,5,-5,dovish
516,0,2,-2,dovish
519,0,2,-2,dovish
528,0,2,-2,dovish
533,0,3,-3,dovish
535,0,3,-3,dovish
536,2,0,2,hawkish
539,0,3,-3,dovish
541,0,4,-4,dovish
546,0,6,-6,dovish
550,0,16,-16,dovish
551,0,2,-2,dovish
552,0,3,-3,dovish
554,0,2,-2,dovish
556,0,2,-2,dovish
580,2,0,2,hawkish
582,0,8,-8,dovish
587,0,2,-2,dovish
588,0,2,-2,dovish
589,0,2,-2,dovish
592,0,3,-3,dovish
600,0,2,-2,dovish
603,0,2,-2,dovish
606,0,2,-2,dovish
614,3,0,3,hawkish
620,0,6,-6,dovish
623,0,2,-2,dovish
626,3,0,3,hawkish
637,2,0,2,hawkish
656,0,3,-3,dovish
657,0,4,-4,dovish
658,0,2,-2,dovish
662,0,6,-6,dovish
664,0,3,-3,dovish
669,0,3,-3,dovish
673,0,2,-2,dovish
674,4,0,4,hawkish
676,2,0,2,hawkish
677,0,3,-3,dovish
679,0,2,-2,dovish
681,2,0,2,hawkish
685,0,2,-2,dovish
687,0,3,-3,dovish
688,27,0,27,hawkish
697,0,2,-2,dovish
699,0,5,-5,dovish
701,0,4,-4,dovish
708,0,2,-2,dovish
713,0,2,-2,dovish
720,0,3,-3,dovish
723,0,2,-2,dovish
725,0,7,-7,dovish
728,2,0,2,hawkish
743,0,3,-3,dovish
748,2,0,2,hawkish
752,3,0,3,hawkish
756,0,2,-2,dovish
757,10,0,10,hawkish
761,0,4,-4,dovish
768,0,6,-6,dovish
772,4,0,4,hawkish
776,0,3,-3,dovish
781,6,0,6,hawkish
783,12,0,12,hawkish
797,0,2,-2,dovish
806,5,0,5,hawkish
811,5,0,5,hawkish
816,0,8,-8,dovish
824,5,0,5,hawkish
825,2,0,2,hawkish
833,0,5,-5,dovish
834,2,0,2,hawkish
844,3,0,3,hawkish
847,3,0,3,hawkish
849,0,2,-2,dovish
850,6,0,6,hawkish
852,0,5,-5,dovish
857,0,2,-2,dovish
860,2,0,2,hawkish
862,6,0,6,hawkish
864,7,0,7,hawkish
901,5,0,5,hawkish
912,0,7,-7,dovish
914,2,0,2,hawkish
919,0,2,-2,dovish
923,0,11,-11,dovish
936,0,4,-4,dovish
938,0,12,-12,dovish
955,0,2,-2,dovish
968,2,0,2,hawkish
980,0,5,-5,dovish
982,0,2,-2,dovish
989,4,0,4,hawkish
992,0,2,-2,dovish
993,2,0,2,hawkish
1001,2,0,2,hawkish
1008,0,6,-6,dovish
1018,2,0,2,hawkish
1022,2,0,2,hawkish
1026,2,0,2,hawkish
1030,0,2,-2,dovish
1041,3,0,3,hawkish
1049,0,2,-2,dovish
1050,0,2,-2,dovish
1053,0,4,-4,dovish
1059,0,3,-3,dovish
1062,0,5,-5,dovish
1080,4,0,4,hawkish
1081,0,3,-3,dovish
1095,0,9,-9,dovish
1099,2,0,2,hawkish
1115,2,0,2,hawkish
1117,9,0,9,hawkish
1128,0,2,-2,dovish
1137,0,6,-6,dovish
1138,2,0,2,hawkish
1141,0,3,-3,dovish
1151,3,0,3,hawkish
1153,0,2,-2,dovish
1165,0,2,-2,dovish
1175,0,3,-3,dovish
1177,3,0,3,hawkish
1178,0,3,-3,dovish
1179,2,0,2,hawkish
1180,0,4,-4,dovish
1181,0,5,-5,dovish
1184,2,0,2,hawkish
1190,0,8,-8,dovish
1208,2,0,2,hawkish
1209,6,0,6,hawkish
1211,6,0,6,hawkish
1212,0,2,-2,dovish
1218,0,7,-7,dovish
1223,0,2,-2,dovish
1227,3,0,3,hawkish
1233,0,2,-2,dovish
1235,0,10,-10,dovish
1239,0,2,-2,dovish
1245,0,3,-3,dovish
1250,0,9,-9,dovish
1255,0,3,-3,dovish
1256,0,3,-3,dovish
1262,5,0,5,hawkish
1293,4,0,4,hawkish
1311,3,0,3,hawkish
1320,0,2,-2,dovish
1322,4,0,4,hawkish
1326,0,4,-4,dovish
1330,0,3,-3,dovish
1335,0,8,-8,dovish
1340,0,2,-2,dovish
1343,0,2,-2,dovish
1352,0,4,-4,dovish
1363,0,7,-7,dovish
1364,0,2,-2,dovish
1366,2,0,2,hawkish
1377,4,0,4,hawkish
1379,2,0,2,hawkish
1394,0,2,-2,dovish
1397,0,4,-4,dovish
1398,4,0,4,hawkish
1403,2,0,2,hawkish
1409,2,0,2,hawkish
1429,0,5,-5,dovish
1432,6,0,6,hawkish
1437,2,0,2,hawkish
1451,0,2,-2,dovish
1452,0,8,-8,dovish
1456,0,2,-2,dovish
1457,0,2,-2,dovish
1463,0,2,-2,dovish
1466,0,3,-3,dovish
1472,0,3,-3,dovish
1475,0,2,-2,dovish
1488,0,3,-3,dovish
1498,0,2,-2,dovish
1507,0,4,-4,dovish
1519,2,0,2,hawkish
1524,0,2,-2,dovish
1530,0,3,-3,dovish
1531,0,6,-6,dovish
1537,3,0,3,hawkish
1540,0,3,-3,dovish
1543,0,3,-3,dovish
1544,2,0,2,hawkish
1547,0,2,-2,dovish
1554,0,3,-3,dovish
1557,2,0,2,hawkish
1561,0,3,-3,dovish
1571,0,9,-9,dovish
1574,3,0,3,hawkish
1579,0,3,-3,dovish
1587,0,3,-3,dovish
1588,0,3,-3,dovish
1604,0,2,-2,dovish
1615,0,3,-3,dovish
1619,0,5,-5,dovish
1620,0,2,-2,dovish
1622,3,0,3,hawkish
1623,4,0,4,hawkish
1626,0,2,-2,dovish
1630,0,4,-4,dovish
1631,0,3,-3,dovish
1633,4,0,4,hawkish
1645,0,6,-6,dovish
1649,0,3,-3,dovish
1658,0,3,-3,dovish
1662,0,10,-10,dovish
1664,0,4,-4,dovish
1665,0,5,-5,dovish
1668,0,6,-6,dovish
1669,0,4,-4,dovish
1681,0,3,-3,dovish
1682,0,4,-4,dovish
1691,3,0,3,hawkish
1694,0,2,-2,dovish
1695,0,4,-4,dovish
1698,3,0,3,hawkish
1706,0,8,-8,dovish
1709,2,0,2,hawkish
1716,0,4,-4,dovish
1732,0,4,-4,dovish
1748,0,2,-2,dovish
1749,0,5,-5,dovish
1761,0,2,-2,dovish
1762,0,6,-6,dovish
